County,Quarterly,January,February,March,Total,Average,March,Total
"Lane County, Kansas",70,360,367,368,"4,098,058",864,0.71,0.81
"Leavenworth County, Kansas","1,336","12,285","12,227","12,372","118,509,804",741,0.71,0.58
"Lincoln County, Kansas",79,594,525,507,"4,754,771",675,0.66,0.69
"Linn County, Kansas",206,"1,250","1,233","1,236","16,587,292","1,029",0.73,0.85
"Logan County, Kansas",103,473,466,472,"3,756,778",614,0.44,0.46
"Lyon County, Kansas",784,"11,111","11,219","11,272","97,418,099",669,0.87,0.86
"Mcpherson County, Kansas",855,"13,118","13,257","13,411","170,605,038",990,1.02,1.06
"Marion County, Kansas",280,"2,438","2,427","2,415","19,525,864",619,0.79,0.83
"Marshall County, Kansas",324,"3,664","3,622","3,664","35,418,567",746,0.96,1.02
"Meade County, Kansas",122,"1,077","1,095","1,103","13,969,490",984,0.78,0.89
"Miami County, Kansas",772,"6,149","6,078","6,044","58,841,396",743,0.85,0.86
"Mitchell County, Kansas",222,"2,141","2,135","2,080","19,608,838",712,0.78,0.82
"Montgomery County, Kansas","1,668","11,779","11,942","11,970","111,495,215",721,0.96,0.99
"Morris County, Kansas",127,995,"1,010","1,022","7,883,789",601,0.78,0.77
"Morton County, Kansas",79,422,428,421,"4,036,341",733,0.61,0.65
"Nemaha County, Kansas",342,"4,224","4,145","4,193","40,571,973",745,0.98,1.02
"Neosho County, Kansas",426,"4,409","4,408","4,440","40,712,174",709,0.84,0.82
"Ness County, Kansas",124,657,665,651,"6,416,098",750,0.7,0.76
"Norton County, Kansas",169,"1,573","1,561","1,563","15,166,612",745,0.79,0.81
"Osage County, Kansas",245,"1,549","1,561","1,561","11,154,845",551,0.67,0.67
"Osborne County, Kansas",151,"1,131","1,125","1,125","10,182,240",695,0.89,0.93
"Ottawa County, Kansas",146,788,774,779,"6,234,677",615,0.73,0.78
"Pawnee County, Kansas",158,"1,226","1,219","1,229","11,271,169",708,0.54,0.54
"Phillips County, Kansas",205,"1,432","1,415","1,423","15,879,491",858,0.71,0.83
"Pottawatomie County, Kansas",588,"8,115","8,058","8,084","86,306,577",821,1,1.03
"Pratt County, Kansas",330,"3,461","3,451","3,452","34,269,625",763,0.9,0.92
"Rawlins County, Kansas",100,608,592,597,"5,039,309",647,0.76,0.8
"Reno County, Kansas","1,512","21,118","21,164","21,258","204,288,896",742,0.94,0.96
"Republic County, Kansas",178,"1,296","1,277","1,281","9,535,957",571,0.85,0.89
"Rice County, Kansas",252,"2,744","2,748","2,774","34,340,911",959,0.85,0.95
"Riley County, Kansas","1,624","19,702","20,671","20,473","178,441,355",677,0.83,0.74
"Rooks County, Kansas",170,"1,128","1,123","1,132","10,219,265",697,0.72,0.76
"Rush County, Kansas",78,672,677,679,"6,190,336",704,0.76,0.82
"Russell County, Kansas",243,"1,859","1,859","1,838","17,435,876",724,0.87,0.94
"Saline County, Kansas","1,427","25,747","25,640","25,679","252,310,021",756,1.01,1.01
"Scott County, Kansas",238,"1,615","1,612","1,617","16,165,844",770,0.85,0.86
"Sedgwick County, Kansas","12,440","221,365","222,465","223,457","2,940,862,727","1,017",1.04,1.04
"Seward County, Kansas",561,"8,250","8,304","8,335","99,745,359",925,0.91,0.94
"Shawnee County, Kansas","4,900","73,409","73,607","73,924","885,105,593",924,0.91,0.91
"Sheridan County, Kansas",111,557,552,567,"5,394,681",743,0.69,0.73
"Sherman County, Kansas",230,"1,647","1,660","1,650","13,452,980",626,0.8,0.78
"Smith County, Kansas",135,942,936,936,"7,161,273",587,0.83,0.87
"Stafford County, Kansas",129,718,708,702,"6,140,313",666,0.65,0.75
"Stanton County, Kansas",87,480,479,486,"5,686,529",908,0.69,0.79
"Stevens County, Kansas",163,"1,046","1,056","1,087","11,070,729",801,0.7,0.77
"Sumner County, Kansas",443,"4,711","4,740","4,756","43,436,622",706,0.82,0.85
"Thomas County, Kansas",358,"3,331","3,306","3,328","31,971,289",740,0.94,1
"Trego County, Kansas",111,712,698,707,"7,104,285",774,0.67,0.74
"Wabaunsee County, Kansas",132,869,859,857,"7,341,397",655,0.75,0.83
"Wallace County, Kansas",75,299,299,296,"2,808,246",725,0.68,0.8
"Washington County, Kansas",204,"1,230","1,224","1,245","8,559,539",534,0.74,0.74
"Wichita County, Kansas",93,718,707,729,"10,099,240","1,082",0.84,0.94
"Wilson County, Kansas",201,"2,597","2,598","2,584","23,909,268",709,0.85,0.88
"Woodson County, Kansas",81,419,427,428,"3,024,994",548,0.72,0.75
"Wyandotte County, Kansas","3,408","74,366","74,027","74,242","952,680,268",987,0.97,0.91
"Unknown Or Undefined, Kansas","1,949","21,354","21,518","21,900","394,763,651","1,406",1.1,1.1
"Adair County, Kentucky",351,"3,407","3,445","3,485","27,346,165",610,0.92,0.89
"Allen County, Kentucky",275,"3,675","3,657","3,684","34,508,734",723,0.95,0.96
"Anderson County, Kentucky",390,"3,935","3,960","3,942","38,826,648",757,0.95,0.97
"Ballard County, Kentucky",141,936,"1,056","1,093","14,023,571","1,049",0.86,0.95
"Barren County, Kentucky",957,"13,859","13,859","13,998","125,019,212",692,1.01,0.99
"Bath County, Kentucky",163,"1,348","1,279","1,376","13,052,335",752,0.84,0.86
"Bell County, Kentucky",501,"6,534","6,494","6,552","54,756,440",645,0.94,0.93
"Boone County, Kentucky","4,417","87,469","86,661","86,847","1,044,831,250",924,1.09,1.08
"Bourbon County, Kentucky",508,"5,466","5,554","5,699","60,845,528",840,0.99,1.02
"Boyd County, Kentucky","1,495","20,492","20,528","20,693","250,100,032",935,1.01,1.03
"Boyle County, Kentucky",802,"12,143","12,097","12,181","120,964,087",766,1.01,1.01
"Bracken County, Kentucky",134,767,767,763,"7,517,934",755,0.73,0.8
"Breathitt County, Kentucky",278,"2,043","2,019","2,041","16,172,433",612,0.82,0.77
"Breckinridge County, Kentucky",315,"2,488","2,519","2,545","20,744,380",634,0.88,0.86
"Bullitt County, Kentucky","1,276","23,219","22,734","22,283","223,774,494",757,1.03,1.01
"Butler County, Kentucky",221,"2,215","2,249","2,257","21,083,029",724,0.92,0.93
"Caldwell County, Kentucky",303,"3,474","3,447","3,455","30,366,647",675,0.98,0.98
"Calloway County, Kentucky",953,"12,004","12,062","12,206","102,998,925",655,0.87,0.81
"Campbell County, Kentucky","2,193","24,379","24,217","24,349","266,497,255",843,0.95,0.93
"Carlisle County, Kentucky",105,700,679,713,"5,992,482",661,0.86,0.88
"Carroll County, Kentucky",278,"6,276","6,304","6,319","105,846,395","1,292",1.05,1.09
"Carter County, Kentucky",507,"4,171","4,083","4,107","34,130,895",637,0.88,0.88
"Casey County, Kentucky",260,"3,184","3,159","3,182","23,842,221",578,0.95,0.94
"Christian County, Kentucky","1,582","24,128","23,979","24,011","248,815,402",796,0.92,0.87
"Clark County, Kentucky",814,"12,832","12,790","12,843","140,551,578",843,1.04,1.05
"Clay County, Kentucky",341,"2,527","2,494","2,552","20,130,797",613,0.75,0.68
"Clinton County, Kentucky",226,"3,197","3,238","3,247","23,540,289",561,0.98,0.96
"Crittenden County, Kentucky",154,"1,491","1,467","1,488","12,368,345",642,0.9,0.92
"Cumberland County, Kentucky",112,"1,483","1,477","1,500","13,544,399",701,0.95,0.96
"Daviess County, Kentucky","2,797","40,264","40,179","40,268","434,184,825",830,1.04,1.03
"Edmonson County, Kentucky",133,805,810,873,"6,105,393",566,0.66,0.58
"Elliott County, Kentucky",67,330,328,323,"2,225,654",524,0.41,0.36
"Estill County, Kentucky",189,"1,457","1,501","1,510","13,587,597",702,0.8,0.83
"Fayette County, Kentucky","11,061","152,780","151,712","152,347","1,789,643,796",904,0.94,0.88
"Fleming County, Kentucky",284,"2,402","2,407","2,479","21,611,618",684,0.91,0.9
"Floyd County, Kentucky",859,"8,192","8,224","8,316","82,565,273",770,0.92,0.94
"Franklin County, Kentucky","1,720","17,932","18,548","17,941","191,336,470",811,0.69,0.65
"Fulton County, Kentucky",173,"1,474","1,498","1,518","11,417,706",587,0.88,0.85
"Gallatin County, Kentucky",117,"1,980","1,975","1,999","31,740,351","1,230",0.95,1.03
"Garrard County, Kentucky",294,"1,479","1,487","1,497","13,526,586",699,0.8,0.82
"Grant County, Kentucky",439,"3,530","3,521","3,577","39,354,819",855,0.87,0.91
"Graves County, Kentucky",797,"9,253","9,215","9,262","89,203,850",742,0.97,0.96
"Grayson County, Kentucky",546,"6,147","6,173","6,196","54,665,156",681,0.92,0.91
"Green County, Kentucky",160,"1,180","1,177","1,179","9,734,114",635,0.81,0.83
"Greenup County, Kentucky",554,"6,124","6,116","6,126","61,052,540",767,0.94,0.95
"Hancock County, Kentucky",162,"3,682","3,601","3,620","75,017,557","1,588",1.04,1.1
"Hardin County, Kentucky","2,781","34,604","34,672","34,877","338,004,875",749,0.85,0.76
"Harlan County, Kentucky",414,"4,284","4,246","4,314","41,781,667",751,0.82,0.87
"Harrison County, Kentucky",302,"4,068","4,086","4,125","46,408,721",872,0.98,1.01
"Hart County, Kentucky",295,"4,231","4,254","4,320","39,020,520",703,0.98,0.98
"Henderson County, Kentucky","1,111","16,487","16,481","16,439","184,489,872",862,1.02,1.03
"Henry County, Kentucky",265,"1,837","1,925","1,965","18,451,790",744,0.82,0.83
"Hickman County, Kentucky",80,694,686,694,"5,294,121",589,0.87,0.85
"Hopkins County, Kentucky",991,"13,511","13,405","13,563","148,410,393",846,0.97,0.98
"Jackson County, Kentucky",124,875,877,912,"7,786,250",674,0.65,0.69
"Jefferson County, Kentucky","25,365","418,212","417,831","420,651","6,240,594,972","1,146",1.06,1.05
"Jessamine County, Kentucky","1,290","14,385","14,471","14,542","145,851,812",776,1,1
"Johnson County, Kentucky",431,"3,662","3,632","3,627","31,204,595",659,0.84,0.82
"Kenton County, Kentucky","4,179","56,477","56,765","57,184","894,669,059","1,211",1,1.03
"Knott County, Kentucky",214,"1,522","1,511","1,450","13,739,904",707,0.78,0.81
"Knox County, Kentucky",519,"6,379","6,418","6,431","51,663,684",620,0.95,0.92
"Larue County, Kentucky",233,"1,821","1,795","1,841","14,795,673",626,0.88,0.85
"Laurel County, Kentucky","1,457","23,832","23,518","23,565","212,711,215",692,1.05,1.03
"Lawrence County, Kentucky",244,"2,671","2,686","2,709","24,133,993",690,0.93,0.95
"Lee County, Kentucky",128,"1,270","1,261","1,238","11,103,572",680,0.88,0.91
"Leslie County, Kentucky",136,"1,066","1,055","1,080","10,486,830",756,0.79,0.82
"Letcher County, Kentucky",384,"3,248","3,272","3,211","29,290,930",695,0.87,0.88
"Lewis County, Kentucky",178,"1,237","1,219","1,227","10,989,952",689,0.77,0.8
"Lincoln County, Kentucky",364,"3,056","3,085","3,108","25,668,874",640,0.88,0.88
"Livingston County, Kentucky",162,"1,737","1,730","1,873","21,912,256",947,0.91,0.95
"Logan County, Kentucky",584,"7,706","7,686","7,725","86,752,256",866,1.01,1.03
"Lyon County, Kentucky",185,"1,459","1,454","1,506","10,320,688",539,0.72,0.62
"McCracken County, Kentucky","2,345","33,276","33,251","33,477","361,556,896",834,1.05,1.03
"McCreary County, Kentucky",220,"1,437","1,437","1,439","9,079,732",486,0.64,0.48
"McLean County, Kentucky",183,"1,593","1,586","1,655","16,740,032",799,0.88,0.95
"Madison County, Kentucky","2,000","27,239","27,023","27,154","265,841,903",754,0.92,0.89
"Magoffin County, Kentucky",180,"1,115","1,132","1,146","8,017,646",545,0.77,0.71
"Marion County, Kentucky",429,"7,727","7,775","7,776","82,138,011",814,1.04,1.06
"Marshall County, Kentucky",770,"9,015","9,115","9,291","121,461,776","1,022",0.99,1.03
"Martin County, Kentucky",160,"1,410","1,447","1,490","14,237,197",756,0.73,0.66
"Mason County, Kentucky",489,"7,176","7,066","7,216","76,580,495",824,1,1.02
"Meade County, Kentucky",388,"3,247","3,242","3,248","31,577,464",748,0.88,0.9
"Menifee County, Kentucky",80,548,548,575,"4,460,281",616,0.71,0.71
"Mercer County, Kentucky",424,"5,177","5,316","5,447","70,659,773","1,023",1.01,1.04
"Metcalfe County, Kentucky",156,"1,342","1,346","1,349","12,167,506",696,0.86,0.87
"Monroe County, Kentucky",226,"2,536","2,502","2,517","20,820,505",636,0.93,0.93
"Montgomery County, Kentucky",631,"9,057","9,035","9,056","90,851,194",772,1.03,1.03
"Morgan County, Kentucky",173,"1,863","1,865","1,911","16,333,681",668,0.75,0.75
"Muhlenberg County, Kentucky",560,"5,945","6,035","6,316","63,754,698",804,0.89,0.87
"Nelson County, Kentucky","1,155","14,061","14,166","14,363","148,178,556",803,1.03,1.04
"Nicholas County, Kentucky",84,497,492,499,"3,354,885",520,0.69,0.65
"Ohio County, Kentucky",382,"6,104","6,069","6,151","56,436,355",711,0.93,0.94
"Oldham County, Kentucky","1,598","12,305","12,312","12,552","143,798,747",893,0.92,0.94
"Owen County, Kentucky",107,831,834,848,"9,534,374",876,0.76,0.82
"Owsley County, Kentucky",67,381,360,384,"2,745,767",563,0.67,0.66
"Pendleton County, Kentucky",191,"1,679","1,665","1,656","18,078,659",834,0.85,0.9
"Perry County, Kentucky",727,"8,755","8,765","8,990","89,843,062",782,0.93,0.95
"Pike County, Kentucky","1,353","17,473","17,421","17,515","192,227,664",846,1,1.01
"Powell County, Kentucky",209,"1,774","1,760","1,813","13,807,227",596,0.83,0.82
"Pulaski County, Kentucky","1,580","21,934","21,955","21,918","199,475,833",700,1,1
"Robertson County, Kentucky",34,156,144,144,"1,130,398",588,0.58,0.6
"Rockcastle County, Kentucky",209,"2,938","2,900","2,967","24,684,891",647,0.92,0.92
"Rowan County, Kentucky",551,"7,312","7,414","7,458","66,293,682",690,0.86,0.84
"Russell County, Kentucky",384,"4,552","4,474","4,505","36,397,667",621,0.95,0.93
"Scott County, Kentucky","1,189","24,214","24,285","24,275","315,204,793","1,000",1.07,1.09
"Shelby County, Kentucky","1,153","13,868","13,710","13,721","147,849,134",826,1,1.01
"Simpson County, Kentucky",468,"8,159","8,092","8,130","84,964,668",804,1.06,1.06
"Spencer County, Kentucky",293,"1,329","1,330","1,366","10,725,492",615,0.79,0.75
"Taylor County, Kentucky",682,"9,970","9,981","10,140","78,525,336",602,0.99,0.93
"Todd County, Kentucky",224,"1,593","1,596","1,612","13,336,005",641,0.84,0.87
"Trigg County, Kentucky",253,"2,344","2,354","2,394","17,639,524",574,0.92,0.86
"Trimble County, Kentucky",100,702,688,773,"11,776,867","1,256",0.8,0.94
"Union County, Kentucky",298,"4,297","4,259","4,320","53,929,958",967,1,1.04
"Warren County, Kentucky","3,733","55,321","55,499","56,057","602,104,832",833,1.01,1.01
"Washington County, Kentucky",268,"2,787","2,817","2,877","27,622,842",752,1,1
"Wayne County, Kentucky",309,"4,637","4,589","4,607","33,772,917",563,0.96,0.93
"Webster County, Kentucky",216,"2,439","2,430","2,401","35,408,642","1,124",0.91,1.01
"Whitley County, Kentucky",771,"9,286","9,507","9,359","90,882,227",745,0.94,0.96
"Wolfe County, Kentucky",115,777,797,811,"5,255,733",509,0.76,0.7
"Woodford County, Kentucky",737,"7,397","7,572","7,557","82,164,087",842,0.97,0.99
"Unknown Or Undefined, Kentucky","5,383","26,119","26,521","27,125","488,333,931","1,413",1.14,1.14
"Acadia Parish, Louisiana","1,224","11,427","11,501","11,656","102,285,074",683,0.96,0.95
"Allen Parish, Louisiana",337,"3,467","3,501","3,526","35,499,099",781,0.54,0.56
"Ascension Parish, Louisiana","2,940","41,598","42,196","42,443","650,067,556","1,188",1.05,1.07
"Assumption Parish, Louisiana",280,"2,989","2,880","2,906","33,087,451",870,0.9,0.94
"Avoyelles Parish, Louisiana",775,"7,120","7,078","7,159","56,789,510",614,0.81,0.82
"Beauregard Parish, Louisiana",684,"6,420","6,593","6,462","75,442,670",894,1.05,0.99
"Bienville Parish, Louisiana",265,"3,331","3,328","3,333","32,857,110",759,0.93,0.91
"Bossier Parish, Louisiana","2,898","35,913","35,974","36,231","364,857,249",779,0.96,0.92
"Caddo Parish, Louisiana","7,192","93,811","93,743","93,909","1,006,916,166",826,0.99,0.94
"Calcasieu Parish, Louisiana","5,297","87,427","87,378","88,606","1,185,158,105","1,038",1.02,1.04
"Caldwell Parish, Louisiana",174,"1,665","1,629","1,635","14,107,953",661,0.85,0.87
"Cameron Parish, Louisiana",135,"8,395","8,638","8,704","223,607,721","2,005",1.08,1.13
"Catahoula Parish, Louisiana",204,"1,475","1,472","1,454","11,049,910",579,0.89,0.85
"Claiborne Parish, Louisiana",232,"2,203","2,218","2,215","21,221,343",738,0.76,0.76
"Concordia Parish, Louisiana",391,"3,692","3,648","3,604","31,632,880",667,0.83,0.81
"De Soto Parish, Louisiana",491,"5,332","5,384","5,251","78,674,915","1,137",0.89,0.96
"East Baton Rouge Parish, Louisiana","15,791","219,710","221,200","221,456","3,032,952,727","1,057",0.97,0.97
"East Carroll Parish, Louisiana",143,"1,191","1,174","1,164","8,400,368",549,0.82,0.76
"East Feliciana Parish, Louisiana",302,"2,491","2,525","2,484","24,230,566",746,0.56,0.49
"Evangeline Parish, Louisiana",558,"5,907","5,911","6,007","51,932,564",672,0.92,0.94
"Franklin Parish, Louisiana",380,"3,248","3,253","3,290","22,378,110",527,0.82,0.74
"Grant Parish, Louisiana",194,"1,960","1,943","1,952","15,044,896",593,0.68,0.53
"Iberia Parish, Louisiana","1,771","22,360","21,957","22,116","278,756,385",968,0.99,1.02
"Iberville Parish, Louisiana",692,"13,125","13,145","12,613","263,658,348","1,565",0.95,1.03
"Jackson Parish, Louisiana",242,"2,221","2,210","2,193","23,126,154",806,0.78,0.83
"Jefferson Parish, Louisiana","14,058","169,933","170,407","169,639","2,128,839,925",963,1.06,1.05
"Jefferson Davis Parish, Louisiana",671,"6,051","6,060","6,149","56,248,466",711,0.9,0.88
"Lafayette Parish, Louisiana","9,858","116,148","116,808","116,918","1,386,074,949",914,1.06,1.04
"Lafourche Parish, Louisiana","1,924","27,005","26,998","27,113","344,758,895",981,0.95,0.96
"LaSalle Parish, Louisiana",392,"3,267","3,282","3,250","33,286,459",784,0.82,0.85
"Lincoln Parish, Louisiana","1,220","15,119","15,055","15,322","131,763,721",668,0.93,0.88
"Livingston Parish, Louisiana","2,265","22,175","22,551","22,723","218,510,604",748,0.93,0.94
"Madison Parish, Louisiana",219,"2,243","2,280","2,296","16,439,606",556,0.88,0.81
"Morehouse Parish, Louisiana",482,"5,286","5,408","5,497","47,140,450",672,0.99,0.99
"Natchitoches Parish, Louisiana",847,"9,323","9,256","9,342","80,849,818",668,0.83,0.79
"Orleans Parish, Louisiana","12,900","170,360","172,897","170,999","2,280,130,119","1,023",1.02,0.97
"Ouachita Parish, Louisiana","4,649","59,518","59,378","59,576","622,359,205",805,1,0.99
"Plaquemines Parish, Louisiana",748,"9,804","9,894","9,916","198,939,581","1,550",0.96,1.01
"Pointe Coupee Parish, Louisiana",431,"4,173","4,076","4,131","51,967,003",969,0.93,0.98
"Rapides Parish, Louisiana","3,545","44,102","44,374","44,396","445,449,843",774,0.93,0.89
"Red River Parish, Louisiana",151,"1,932","1,935","1,954","17,588,436",697,0.91,0.87
"Richland Parish, Louisiana",480,"5,401","5,389","5,414","45,731,588",651,0.99,0.99
"Sabine Parish, Louisiana",515,"4,051","4,067","4,104","38,402,838",725,0.89,0.93
